"","mean","var","median","0.05th","0.25th","0.75th","0.95th"
"1",0.062252,1.7e-05,0.062395,0.055233,0.059597,0.064792,0.069082
"2",0.065343,1.6e-05,0.065434,0.058674,0.062585,0.068131,0.072025
"3",0.062898,1.6e-05,0.062848,0.056578,0.060425,0.065631,0.069254
"4",0.070548,1.8e-05,0.07064,0.063499,0.067485,0.073279,0.077159
"5",0.065158,1.8e-05,0.064969,0.05811,0.062457,0.067988,0.071852
"6",0.06867,1.8e-05,0.06879,0.061574,0.065509,0.071694,0.075439
"7",0.065717,2.2e-05,0.065645,0.058158,0.062787,0.068668,0.073541
"8",0.061396,1.8e-05,0.061315,0.054277,0.058433,0.064469,0.068343
"9",0.06462,1.7e-05,0.064783,0.058219,0.062166,0.067222,0.071049
"10",0.061251,1.6e-05,0.061191,0.054677,0.058558,0.064249,0.0678
"11",0.065317,1.5e-05,0.065401,0.058889,0.062689,0.067927,0.071788
"12",0.068541,1.9e-05,0.068781,0.061383,0.065421,0.071432,0.075606
"13",0.064061,1.7e-05,0.064212,0.056939,0.061458,0.066827,0.0705
"14",0.073831,2.3e-05,0.073705,0.066224,0.070564,0.076956,0.081757
"15",0.062087,1.8e-05,0.062184,0.054935,0.059275,0.064979,0.068758
"16",0.074314,1.9e-05,0.074126,0.067376,0.071466,0.077455,0.081533
"17",0.063237,1.9e-05,0.063349,0.056192,0.060352,0.066083,0.070691
"18",0.063484,2.3e-05,0.063244,0.056011,0.059992,0.066971,0.071836
"19",0.063205,1.8e-05,0.063036,0.056088,0.060413,0.066071,0.070483
"20",0.063418,1.7e-05,0.063462,0.056919,0.060791,0.066005,0.070124
"21",0.062195,2e-05,0.062337,0.05424,0.059437,0.065253,0.069087
"22",0.062559,1.6e-05,0.062592,0.056099,0.059813,0.065506,0.068734
"23",0.064949,2.1e-05,0.064945,0.05716,0.061885,0.068245,0.072116
"24",0.060002,1.3e-05,0.060028,0.053589,0.057694,0.062308,0.065991
"25",0.065269,1.8e-05,0.06529,0.057709,0.062692,0.068061,0.072343
"26",0.059796,1.7e-05,0.059571,0.053396,0.057064,0.062612,0.066846
"27",0.067713,1.9e-05,0.067869,0.060371,0.064883,0.070518,0.074849
"28",0.068441,2.4e-05,0.068559,0.06094,0.065132,0.071884,0.076453
"29",0.071068,1.7e-05,0.071319,0.0642,0.068152,0.073962,0.077635
"30",0.062283,1.6e-05,0.062466,0.055569,0.059846,0.064789,0.068892
"31",0.060781,1.9e-05,0.060966,0.053598,0.057996,0.063649,0.06764
"32",0.062042,1.8e-05,0.062043,0.055395,0.05895,0.064827,0.069376
"33",0.068862,2.1e-05,0.068897,0.061467,0.06574,0.072087,0.076295
"34",0.070545,2.1e-05,0.07052,0.062704,0.067461,0.073681,0.077693
"35",0.060219,1.7e-05,0.060276,0.053126,0.057568,0.063245,0.066804
"36",0.074291,2.2e-05,0.074353,0.066321,0.071139,0.07729,0.081883
"37",0.057373,1.5e-05,0.057366,0.051156,0.054786,0.060246,0.063661
"38",0.057818,1.7e-05,0.057653,0.051115,0.055177,0.060687,0.06499
"39",0.067406,1.9e-05,0.067527,0.059965,0.064597,0.070243,0.074542
"40",0.068371,1.4e-05,0.068331,0.061853,0.065951,0.070829,0.074526
"41",0.065251,1.9e-05,0.06552,0.057683,0.062645,0.06814,0.07189
"42",0.068867,2e-05,0.068684,0.062058,0.065683,0.071848,0.076401
"43",0.063265,2e-05,0.063292,0.055712,0.060449,0.066297,0.070817
"44",0.069055,1.9e-05,0.069238,0.061358,0.066226,0.072122,0.075981
"45",0.067376,1.8e-05,0.067437,0.060311,0.064766,0.070117,0.074184
"46",0.07626,2.5e-05,0.076158,0.068183,0.072907,0.079553,0.084469
"47",0.058807,1.6e-05,0.058943,0.052345,0.056167,0.061666,0.065142
"48",0.069541,1.7e-05,0.069915,0.062465,0.067076,0.07244,0.075953
"49",0.062109,1.6e-05,0.062039,0.055345,0.059394,0.064847,0.06859
"50",0.058283,1.3e-05,0.058426,0.051912,0.056018,0.060574,0.064323
