"","mean","var","median","0.05th","0.25th","0.75th","0.95th"
"1",0.002934,0,0.00297,0.001986,0.002372,0.003312,0.004265
"2",0.00368,2e-06,0.003448,0.002417,0.00285,0.004102,0.005501
"3",0.007858,4e-06,0.007339,0.005623,0.006673,0.00828,0.013086
"4",0.003296,0,0.003287,0.002917,0.003102,0.003477,0.003721
"5",0.001874,0,0.00186,0.001363,0.001681,0.002077,0.002345
"6",0.005509,1.7e-05,0.007146,0.00105,0.001292,0.009506,0.010371
"7",0.001223,1e-06,0.000829,0.000634,0.000735,0.000965,0.003044
"8",0.004332,1e-06,0.004244,0.003261,0.003684,0.005154,0.005467
"9",0.00574,1e-06,0.005827,0.003136,0.00509,0.00654,0.007478
"10",0.002822,1e-05,0.001513,0.000569,0.000705,0.003724,0.011557
"11",0.003307,0,0.003294,0.002589,0.002964,0.003647,0.004031
"12",0.009333,1e-06,0.00934,0.008102,0.008734,0.009875,0.010698
"13",0.006891,1e-06,0.006929,0.0047,0.006161,0.007765,0.00865
"14",0.004881,0,0.004812,0.0043,0.004588,0.005101,0.005757
"15",0.015535,3.7e-05,0.018299,0.004024,0.013362,0.019864,0.021036
"16",0.008249,4e-06,0.007954,0.005223,0.007213,0.009563,0.01155
"17",0.008618,5.2e-05,0.013323,0.000651,0.000827,0.015441,0.016561
"18",0.001174,0,0.000926,0.000726,0.000831,0.001597,0.002003
"19",0.005239,0,0.005243,0.004025,0.004781,0.005678,0.006406
"20",0.014435,3.2e-05,0.016799,0.003823,0.011702,0.018722,0.020219
"21",0.00996,1e-06,0.010187,0.008064,0.009506,0.010591,0.011202
"22",0.002154,0,0.002205,0.001332,0.001744,0.002559,0.002915
"23",0.005304,5e-06,0.004489,0.003206,0.003664,0.006795,0.00997
"24",0.009047,1e-06,0.008565,0.007747,0.008212,0.009907,0.011388
"25",0.004299,1.2e-05,0.002821,0.002183,0.002548,0.003306,0.013068
"26",0.007949,0,0.008053,0.006732,0.00753,0.008451,0.008904
"27",0.00944,1e-06,0.009383,0.007948,0.008905,0.009763,0.01166
"28",0.000961,0,0.000936,0.000646,0.000805,0.001114,0.001318
"29",0.003878,2e-06,0.004372,0.001145,0.003773,0.004854,0.005423
"30",0.008331,4.6e-05,0.00264,0.00213,0.002349,0.015628,0.017603
"31",0.005745,0,0.005774,0.004658,0.005334,0.006092,0.007049
"32",0.004521,3e-06,0.005064,0.002037,0.002336,0.005949,0.006922
"33",0.006437,3.8e-05,0.002436,0.001323,0.001769,0.013379,0.016909
"34",0.00409,1e-06,0.004268,0.002285,0.003608,0.004685,0.005305
"35",0.001964,0,0.001963,0.001574,0.001805,0.002121,0.002384
"36",0.001583,7e-06,0.000658,0.00046,0.000569,0.000763,0.009561
"37",0.010962,2e-06,0.010639,0.009495,0.010295,0.011239,0.01412
"38",0.006447,9e-06,0.008043,0.000917,0.005279,0.008632,0.009065
"39",0.007722,2.5e-05,0.009399,0.001035,0.001374,0.011704,0.014347
"40",0.002265,0,0.002335,0.001671,0.001976,0.002532,0.002751
"41",0.001668,0,0.001631,0.001266,0.001449,0.001861,0.002248
"42",0.008327,6e-06,0.00766,0.005688,0.006948,0.008534,0.01507
"43",0.002358,0,0.002355,0.001554,0.002024,0.00271,0.003163
"44",0.002317,0,0.002384,0.001436,0.001858,0.002759,0.003068
"45",0.016401,6e-06,0.016225,0.013124,0.014248,0.018861,0.019885
"46",0.00546,2.5e-05,0.004562,0.002375,0.003025,0.005095,0.022609
"47",0.007134,1e-06,0.006802,0.005738,0.006168,0.008197,0.008817
"48",0.014492,4e-06,0.014478,0.011617,0.012783,0.016086,0.017569
"49",0.009017,1e-06,0.008952,0.007469,0.008373,0.00964,0.010714
"50",0.009364,5e-06,0.010222,0.005698,0.007582,0.011212,0.011897
