"","mean","var","median","0.05th","0.25th","0.75th","0.95th"
"1",0.047777,1.9e-05,0.047554,0.040812,0.044918,0.050481,0.055329
"2",0.04076,1.6e-05,0.040445,0.034798,0.038198,0.042836,0.048106
"3",0.054803,0.000119,0.050366,0.041491,0.045668,0.064678,0.072778
"4",0.050329,3.2e-05,0.050544,0.041084,0.045665,0.054932,0.058773
"5",0.043461,1.2e-05,0.04364,0.037586,0.04105,0.045776,0.048915
"6",0.046252,5.4e-05,0.043791,0.036957,0.040272,0.05343,0.058632
"7",0.040792,9e-06,0.040765,0.035772,0.038684,0.042968,0.045606
"8",0.041853,8e-06,0.041857,0.037102,0.039862,0.043968,0.04627
"9",0.049275,1e-05,0.049451,0.044488,0.047044,0.051347,0.054139
"10",0.045493,1.3e-05,0.0455,0.039725,0.043014,0.048012,0.051117
"11",0.05067,1.3e-05,0.050874,0.044735,0.048392,0.053144,0.055986
"12",0.042037,1.2e-05,0.042009,0.036591,0.039752,0.044438,0.047493
"13",0.043264,9e-06,0.04326,0.03839,0.041169,0.045308,0.048348
"14",0.044675,1.2e-05,0.044262,0.039206,0.042258,0.04694,0.051067
"15",0.043157,1.2e-05,0.043222,0.037452,0.040996,0.045246,0.048734
"16",0.046588,3.3e-05,0.045482,0.039238,0.043001,0.049039,0.058262
"17",0.090385,3e-06,0.090571,0.087318,0.089231,0.091758,0.092838
"18",0.044421,1.3e-05,0.044221,0.039018,0.042088,0.046799,0.050143
"19",0.042259,1.1e-05,0.042303,0.036806,0.040126,0.044302,0.047579
"20",0.050986,1.3e-05,0.051008,0.045319,0.048504,0.053221,0.057087
"21",0.039693,8e-06,0.039698,0.035399,0.037887,0.041534,0.044148
"22",0.044361,1e-05,0.044311,0.039228,0.042234,0.046436,0.049636
"23",0.048835,1.5e-05,0.048933,0.042493,0.046284,0.051207,0.055032
"24",0.045601,1.3e-05,0.045706,0.03981,0.043088,0.04811,0.051104
"25",0.052174,9.8e-05,0.052357,0.038288,0.043239,0.061122,0.067196
"26",0.045828,1.3e-05,0.045702,0.039832,0.043438,0.04827,0.05168
"27",0.042998,8e-06,0.043015,0.038609,0.041098,0.044775,0.047267
"28",0.051847,0.000116,0.04636,0.038885,0.042242,0.063353,0.067133
"29",0.044648,1.3e-05,0.044593,0.039208,0.041983,0.046964,0.050449
"30",0.041941,1.3e-05,0.041619,0.036298,0.039614,0.044164,0.048427
"31",0.050791,1.9e-05,0.050562,0.043994,0.047929,0.053644,0.058206
"32",0.049498,1.9e-05,0.049674,0.041977,0.046442,0.052444,0.056817
"33",0.04742,2.1e-05,0.046698,0.041505,0.044522,0.04923,0.057755
"34",0.045035,2e-05,0.044801,0.038243,0.042021,0.047766,0.053209
"35",0.044107,1.2e-05,0.043837,0.03879,0.041776,0.046289,0.049996
"36",0.046325,1.3e-05,0.046172,0.04055,0.043768,0.048818,0.052093
"37",0.049367,1.7e-05,0.048959,0.043338,0.046794,0.051578,0.056066
"38",0.04373,1.6e-05,0.043436,0.037631,0.041089,0.046158,0.050047
"39",0.043701,1e-05,0.043754,0.038563,0.041663,0.045917,0.048642
"40",0.045424,1.1e-05,0.045237,0.040138,0.043227,0.047572,0.050961
"41",0.048126,1.6e-05,0.048015,0.041924,0.04544,0.050498,0.054937
"42",0.048234,1.1e-05,0.0483,0.042845,0.045972,0.050462,0.05341
"43",0.052819,0.000113,0.049295,0.039672,0.044002,0.063589,0.07064
"44",0.039055,1e-05,0.03907,0.034104,0.036763,0.041155,0.044352
"45",0.044674,1.3e-05,0.044533,0.038905,0.0423,0.046844,0.051048
"46",0.047689,1.9e-05,0.047258,0.041483,0.04452,0.04981,0.056234
"47",0.040556,1.6e-05,0.040192,0.034475,0.037884,0.042749,0.047837
"48",0.043382,1.2e-05,0.04342,0.037476,0.041177,0.045659,0.048961
"49",0.047292,1e-05,0.04729,0.042033,0.045196,0.049435,0.05243
"50",0.089091,1.9e-05,0.090409,0.080522,0.08711,0.092287,0.093755
