"","mean","var","median","0.05th","0.25th","0.75th","0.95th"
"1",0.022592,2.6e-05,0.020305,0.017899,0.019226,0.023378,0.034435
"2",0.019146,1e-06,0.019216,0.017818,0.018635,0.019547,0.020336
"3",0.016562,3e-06,0.017078,0.013246,0.015697,0.017607,0.019361
"4",0.010673,2e-05,0.008505,0.008043,0.008319,0.008764,0.020872
"5",0.016295,7e-06,0.017449,0.012399,0.012704,0.018676,0.01931
"6",0.014504,0,0.014555,0.013421,0.014084,0.014967,0.0154
"7",0.02473,0,0.024735,0.024226,0.024528,0.024936,0.025214
"8",0.009369,1e-06,0.008976,0.008705,0.008855,0.009248,0.011477
"9",0.020081,5e-06,0.019479,0.016385,0.018194,0.022522,0.023155
"10",0.010317,0,0.01008,0.009746,0.009932,0.010351,0.011799
"11",0.026995,1e-06,0.027332,0.025048,0.02615,0.027847,0.028262
"12",0.014544,2.4e-05,0.012384,0.011298,0.011832,0.012899,0.025849
"13",0.013763,0,0.013791,0.012776,0.013481,0.014062,0.014633
"14",0.015248,0,0.015319,0.014383,0.014857,0.015641,0.015987
"15",0.01248,4.7e-05,0.008759,0.008021,0.008402,0.011625,0.02637
"16",0.022374,4e-06,0.021277,0.020682,0.021015,0.024609,0.025809
"17",0.027262,4e-06,0.027252,0.02448,0.025514,0.028943,0.030242
"18",0.009655,1.7e-05,0.007429,0.006658,0.007066,0.012479,0.018122
"19",0.004299,7e-06,0.005338,0.000243,0.000313,0.006815,0.006943
"20",0.011768,1.8e-05,0.008844,0.007877,0.00831,0.013967,0.018822
"21",0.017942,0,0.017933,0.017551,0.017749,0.018112,0.018379
"22",0.025045,3e-06,0.025109,0.022177,0.023727,0.026563,0.027345
"23",0.011672,0,0.011603,0.01099,0.011179,0.012059,0.012642
"24",0.010811,0,0.010725,0.010137,0.010421,0.01099,0.011399
"25",0.025284,6e-06,0.025859,0.022029,0.022505,0.02763,0.028545
"26",0.020987,0,0.021042,0.020145,0.020711,0.021313,0.021611
"27",0.019372,0.000176,0.015076,0.003834,0.008585,0.037257,0.039046
"28",0.004601,1.4e-05,0.003847,0.003655,0.003758,0.003931,0.00436
"29",0.016337,0,0.016398,0.015513,0.015952,0.016726,0.017025
"30",0.014412,5e-06,0.014644,0.009866,0.013768,0.016004,0.01682
"31",0.004002,0,0.00399,0.003869,0.003937,0.004065,0.004163
"32",0.012514,7.5e-05,0.010372,0.004329,0.004515,0.021163,0.026611
"33",0.019817,0,0.019791,0.019273,0.019598,0.020018,0.020465
"34",0.008182,2.4e-05,0.007875,0.001933,0.002256,0.013237,0.01399
"35",0.023177,8e-06,0.022895,0.018968,0.020751,0.025734,0.027665
"36",0.010182,2.7e-05,0.008455,0.008261,0.008376,0.008561,0.026809
"37",0.015984,0,0.016157,0.014978,0.015217,0.016391,0.016949
"38",0.026466,0,0.026509,0.025437,0.026002,0.026954,0.027431
"39",0.017197,6e-06,0.017694,0.013082,0.016656,0.018427,0.021984
"40",0.022915,1e-06,0.02262,0.021971,0.02232,0.02351,0.024557
"41",0.013789,1e-06,0.014037,0.012117,0.013161,0.014481,0.014871
"42",0.013121,7e-06,0.011523,0.011244,0.011405,0.015083,0.018447
"43",0.008763,0,0.008767,0.008512,0.008671,0.008854,0.009014
"44",0.019373,0,0.019326,0.018539,0.018898,0.019804,0.020336
"45",0.012205,0,0.012203,0.011707,0.011996,0.012418,0.012717
"46",0.004929,0,0.004843,0.00449,0.004635,0.00511,0.005657
"47",0.01344,1.1e-05,0.012601,0.009998,0.010963,0.015368,0.01857
"48",0.012327,2e-06,0.01162,0.0112,0.011421,0.0134,0.014887
"49",0.009816,3.7e-05,0.013615,0.003359,0.003581,0.014868,0.017964
"50",0.009031,0,0.00901,0.008481,0.008766,0.009275,0.009671
