"","mean","var","median","0.05th","0.25th","0.75th","0.95th"
"1",0.003804,3e-06,0.003294,0.002554,0.002956,0.003712,0.008813
"2",0.008277,2.4e-05,0.010876,0.002083,0.002474,0.012531,0.013965
"3",0.010083,6e-06,0.010203,0.005995,0.008252,0.012117,0.013616
"4",0.007081,4e-06,0.00762,0.004102,0.005054,0.008683,0.009444
"5",0.005887,1.3e-05,0.004884,0.00253,0.003401,0.006631,0.015495
"6",0.004288,1e-06,0.004158,0.002882,0.003529,0.004893,0.006112
"7",0.009323,4.6e-05,0.0042,0.002585,0.003069,0.015386,0.019817
"8",0.007839,1.1e-05,0.007176,0.002359,0.0054,0.010533,0.013664
"9",0.007879,1.7e-05,0.007964,0.002102,0.00375,0.011832,0.013187
"10",0.013458,1e-05,0.012722,0.00999,0.011543,0.015205,0.019094
"11",0.00557,1e-06,0.005559,0.004503,0.00512,0.006197,0.006584
"12",0.005321,1e-06,0.005152,0.004087,0.00463,0.006012,0.006933
"13",0.007306,9e-06,0.009032,0.003075,0.003404,0.009798,0.010523
"14",0.00513,1.7e-05,0.004255,0.003788,0.004031,0.00458,0.005356
"15",0.003627,9e-06,0.001843,0.001484,0.001649,0.006784,0.008811
"16",0.01017,2e-06,0.009744,0.008544,0.009171,0.011167,0.012615
"17",0.006535,4e-06,0.007046,0.001952,0.005477,0.007895,0.008925
"18",0.010989,2.8e-05,0.012879,0.001945,0.004352,0.015212,0.017053
"19",0.002945,7e-06,0.001993,0.001599,0.001805,0.002519,0.01067
"20",0.014396,2e-05,0.012806,0.010684,0.011914,0.013829,0.024068
"21",0.008956,2e-06,0.009325,0.006748,0.007714,0.010104,0.010787
"22",0.009649,3e-06,0.009399,0.007041,0.008553,0.010595,0.013127
"23",0.005713,9e-06,0.005603,0.00141,0.004133,0.007395,0.011287
"24",0.006887,3.7e-05,0.003377,0.002505,0.002915,0.013426,0.01821
"25",0.007994,4.3e-05,0.002141,0.001281,0.001582,0.014326,0.016161
"26",0.008039,2e-05,0.007349,0.002137,0.004151,0.012175,0.015428
"27",0.006678,3.1e-05,0.004203,0.001191,0.001378,0.012964,0.015443
"28",0.016006,5e-06,0.016247,0.012403,0.014365,0.017667,0.019196
"29",0.005206,3e-06,0.004765,0.003104,0.003886,0.006637,0.00788
"30",0.00667,8e-06,0.00557,0.003784,0.004643,0.009449,0.012077
"31",0.005996,2e-06,0.006131,0.003395,0.005267,0.006977,0.007794
"32",0.003098,0,0.00299,0.002347,0.00272,0.003321,0.003984
"33",0.007096,1e-06,0.006835,0.00583,0.006319,0.007572,0.009351
"34",0.015384,1e-04,0.008484,0.004921,0.006371,0.026289,0.028974
"35",0.015753,2.3e-05,0.014293,0.009954,0.011247,0.020327,0.023896
"36",0.003973,1.6e-05,0.00128,0.001016,0.001145,0.005309,0.011964
"37",0.008818,2.2e-05,0.006261,0.004877,0.005594,0.012088,0.018439
"38",0.016178,3e-06,0.015899,0.013545,0.014679,0.017636,0.019233
"39",0.005115,2e-06,0.005434,0.001983,0.004203,0.006103,0.006927
