"mean","var","median","0.05th","0.25th","0.75th","0.95th"
"dist_summ",1.45959012942916,2.68793885172231e-05,1.45954591086214,1.45084532194123,1.45609241457795,1.46306382549421,1.46802714681284
"r_summ",3.33084743481325,0.028089375338445,3.32473880666197,3.08592826442882,3.21458207863402,3.43195936092162,3.63295361315907
"",1.4544569541321,1.4544569541321,1.4544569541321,1.4544569541321,1.4544569541321,1.4544569541321,1.4544569541321
"",3.36278894307439,3.36278894307439,3.36278894307439,3.36278894307439,3.36278894307439,3.36278894307439,3.36278894307439
"dist_summ",1.36803462599455,4.51305575247744e-05,1.3682739848637,1.35719218745771,1.36347372763136,1.37273762273209,1.37911598991629
"r_summ",3.26086070772713,0.0259100900806648,3.25965803211156,2.99737514256835,3.15335416880638,3.37270076300651,3.53510254682918
"",1.35355962449096,1.35355962449096,1.35355962449096,1.35355962449096,1.35355962449096,1.35355962449096,1.35355962449096
"",3.27902659933181,3.27902659933181,3.27902659933181,3.27902659933181,3.27902659933181,3.27902659933181,3.27902659933181
"dist_summ",1.2677176405639,2.36560446508938e-05,1.26772813202926,1.25961916668427,1.26452013339894,1.27099299328805,1.27607250867272
"r_summ",3.40132057421376,0.027551430988197,3.39224308893905,3.14478028472416,3.28726172415316,3.50356374812898,3.70102769518728
"",1.25961631746924,1.25961631746924,1.25961631746924,1.25961631746924,1.25961631746924,1.25961631746924,1.25961631746924
"",3.43549780587211,3.43549780587211,3.43549780587211,3.43549780587211,3.43549780587211,3.43549780587211,3.43549780587211
"dist_summ",1.28333307676066,2.34186558581325e-05,1.28337301203078,1.27522632475261,1.28007870295282,1.28671650459062,1.29112392505934
"r_summ",3.40736058188171,0.0312304118214865,3.3971678211241,3.12775894162787,3.28726172415316,3.52453141525726,3.69009317805732
"",1.28238472816681,1.28238472816681,1.28238472816681,1.28238472816681,1.28238472816681,1.28238472816681,1.28238472816681
"",3.41068030412885,3.41068030412885,3.41068030412885,3.41068030412885,3.41068030412885,3.41068030412885,3.41068030412885
"dist_summ",1.33102627635269,3.09149523215106e-05,1.33091587419644,1.32178203083956,1.32727860591576,1.3348002368842,1.34019710193572
"r_summ",3.35165507638561,0.0278940142396519,3.34377242837021,3.07768353717525,3.2324751232172,3.45214034886749,3.63351277672133
"",1.32368948175071,1.32368948175071,1.32368948175071,1.32368948175071,1.32368948175071,1.32368948175071,1.32368948175071
"",3.37076285186452,3.37076285186452,3.37076285186452,3.37076285186452,3.37076285186452,3.37076285186452,3.37076285186452
"dist_summ",1.36900249146941,2.42577768360023e-05,1.36886603561073,1.36102380613524,1.36561356316061,1.37246017518649,1.37702242358205
"r_summ",3.37368382106725,0.0283805020105341,3.36300704980719,3.11931084194874,3.25965803211156,3.48282560432653,3.67807417248812
"",1.38004036185964,1.38004036185964,1.38004036185964,1.38004036185964,1.38004036185964,1.38004036185964,1.38004036185964
"",3.37985396739954,3.37985396739954,3.37985396739954,3.37985396739954,3.37985396739954,3.37985396739954,3.37985396739954
"dist_summ",1.36609636598254,2.42360291670303e-05,1.36614041805002,1.35834842324897,1.36278823275744,1.36932595708081,1.37407937806392
"r_summ",3.29809924331908,0.0259236344011276,3.29655820893832,3.03705043961318,3.18807875092905,3.40209255330915,3.57798080652549
"",1.36413229067657,1.36413229067657,1.36413229067657,1.36413229067657,1.36413229067657,1.36413229067657,1.36413229067657
"",3.31786105175931,3.31786105175931,3.31786105175931,3.31786105175931,3.31786105175931,3.31786105175931,3.31786105175931
"dist_summ",1.41079148492765,2.69031906878281e-05,1.41069040673153,1.40226120729708,1.40740209372285,1.41434130247588,1.4195849425713
"r_summ",3.38060971340962,0.0288101700353286,3.37270076300651,3.11931084194874,3.26881201400098,3.48282560432653,3.68951767715575
"",1.40905438742898,1.40905438742898,1.40905438742898,1.40905438742898,1.40905438742898,1.40905438742898,1.40905438742898
"",3.39400488973352,3.39400488973352,3.39400488973352,3.39400488973352,3.39400488973352,3.39400488973352,3.39400488973352
"dist_summ",1.43242392880179,2.97219179898833e-05,1.43247760196721,1.42325932101218,1.42895270095244,1.43604835721114,1.44165559721954
"r_summ",3.27772532374386,0.026656112967045,3.26881201400098,3.02106736341209,3.16197062716251,3.38244596821981,3.55642190871361
"",1.42483916471358,1.42483916471358,1.42483916471358,1.42483916471358,1.42483916471358,1.42483916471358,1.42483916471358
"",3.29906754972708,3.29906754972708,3.29906754972708,3.29906754972708,3.29906754972708,3.29906754972708,3.29906754972708
"dist_summ",1.48710433309981,2.96795553664602e-05,1.4871681616438,1.4778826819635,1.48357316541029,1.49080279559282,1.4960960566127
"r_summ",3.27916295439944,0.0268442856230322,3.2734125666321,3.03705043961318,3.16846514809076,3.38244596821981,3.55642190871361
"",1.51210721784782,1.51210721784782,1.51210721784782,1.51210721784782,1.51210721784782,1.51210721784782,1.51210721784782
"",3.28562091048255,3.28562091048255,3.28562091048255,3.28562091048255,3.28562091048255,3.28562091048255,3.28562091048255
"dist_summ",1.56135637250353,3.00652503353982e-05,1.56140270301414,1.55174669835281,1.55785919601391,1.56527241970761,1.56962105244828
"r_summ",3.30267581349708,0.0270122244979386,3.29655820893832,3.04469685319649,3.18807875092905,3.41199479419209,3.57798080652549
"",1.55883173996792,1.55883173996792,1.55883173996792,1.55883173996792,1.55883173996792,1.55883173996792,1.55883173996792
"",3.31925074640714,3.31925074640714,3.31925074640714,3.31925074640714,3.31925074640714,3.31925074640714,3.31925074640714
"dist_summ",1.25802998642634,2.46828249972739e-05,1.2580029461192,1.24996816231056,1.25483987418083,1.26131396029834,1.26622855229161
"r_summ",3.3613899968498,0.029203605676938,3.35336440971981,3.10253820886683,3.25055080129984,3.47254139752669,3.65538435465226
"",1.25199919182311,1.25199919182311,1.25199919182311,1.25199919182311,1.25199919182311,1.25199919182311,1.25199919182311
"",3.37823911883915,3.37823911883915,3.37823911883915,3.37823911883915,3.37823911883915,3.37823911883915,3.37823911883915
"dist_summ",1.43811782926467,2.99917143169826e-05,1.43795574182953,1.42904547642185,1.43454498123075,1.44183609265771,1.44690908913022
"r_summ",3.28911153862692,0.0245844387493372,3.27801311926321,3.04509929601667,3.17933258451393,3.39224308893905,3.54573254255973
"",1.42554777981621,1.42554777981621,1.42554777981621,1.42554777981621,1.42554777981621,1.42554777981621,1.42554777981621
"",3.30681049061162,3.30681049061162,3.30681049061162,3.30681049061162,3.30681049061162,3.30681049061162,3.30681049061162
"dist_summ",1.46484811347104,2.94515127255711e-05,1.46462857654678,1.45589096620948,1.46114017705442,1.46843995443904,1.47415215366321
"r_summ",3.31460116620028,0.0288359930754028,3.30590295795247,3.04509929601667,3.19686882654595,3.43195936092162,3.61077742711466
"",1.46154504880625,1.46154504880625,1.46154504880625,1.46154504880625,1.46154504880625,1.46154504880625,1.46154504880625
"",3.34155747500078,3.34155747500078,3.34155747500078,3.34155747500078,3.34155747500078,3.34155747500078,3.34155747500078
"dist_summ",1.51330043560024,5.83243082737031e-05,1.51333843966212,1.50081412595637,1.5081014962124,1.51846361167795,1.52593088965681
"r_summ",3.23755425239114,0.027696011811369,3.22350595069149,2.98955194012224,3.11931084194874,3.34377242837021,3.52453141525726
"",1.5069651988916,1.5069651988916,1.5069651988916,1.5069651988916,1.5069651988916,1.5069651988916,1.5069651988916
"",3.26133652945516,3.26133652945516,3.26133652945516,3.26133652945516,3.26133652945516,3.26133652945516,3.26133652945516
"dist_summ",1.5285145314468,2.67478421049135e-05,1.5284886180636,1.52010295742928,1.52489424093076,1.53209021806223,1.53694438031613
"r_summ",3.28154724557587,0.0283968595068809,3.26881201400098,3.01313258113048,3.16197062716251,3.39224308893905,3.55642190871361
"",1.52332115872684,1.52332115872684,1.52332115872684,1.52332115872684,1.52332115872684,1.52332115872684,1.52332115872684
"",3.3102513036831,3.3102513036831,3.3102513036831,3.3102513036831,3.3102513036831,3.3102513036831,3.3102513036831
"dist_summ",1.42237197097942,3.23400996642888e-05,1.42235109131618,1.41296121906144,1.41875338329651,1.42609806042518,1.43176632658658
"r_summ",3.28984683163363,0.0280617664408346,3.27801311926321,3.03664991211355,3.17715693548549,3.40209255330915,3.57798080652549
"",1.41936908191498,1.41936908191498,1.41936908191498,1.41936908191498,1.41936908191498,1.41936908191498,1.41936908191498
"",3.31406237659369,3.31406237659369,3.31406237659369,3.31406237659369,3.31406237659369,3.31406237659369,3.31406237659369
"dist_summ",1.28405820245468,2.54116907522081e-05,1.28424218225044,1.27583554241502,1.28076617235457,1.28730074330622,1.29217509576387
"r_summ",3.34617342573081,0.0293861512069211,3.33423069585109,3.07768353717525,3.2324751232172,3.45214034886749,3.64413688440421
"",1.27899608566166,1.27899608566166,1.27899608566166,1.27899608566166,1.27899608566166,1.27899608566166,1.27899608566166
"",3.36431896792761,3.36431896792761,3.36431896792761,3.36431896792761,3.36431896792761,3.36431896792761,3.36431896792761
"dist_summ",1.45567476932647,3.43879178871639e-05,1.45584297668587,1.44610448916234,1.45163834636009,1.45949034376935,1.46457670426152
"r_summ",3.2483499042926,0.0269777400443858,3.24148995317857,2.98955194012224,3.13412622264604,3.35336440971981,3.52453141525726
"",1.45202163001375,1.45202163001375,1.45202163001375,1.45202163001375,1.45202163001375,1.45202163001375,1.45202163001375
"",3.26791736449505,3.26791736449505,3.26791736449505,3.26791736449505,3.26791736449505,3.26791736449505,3.26791736449505
"dist_summ",1.4036925944815,2.6523132618775e-05,1.40357546933066,1.39546028556288,1.39998996748883,1.40713801219835,1.41237722104244
"r_summ",3.34160281629094,0.0284659659874146,3.34377242837021,3.08592826442882,3.22350595069149,3.45214034886749,3.63295361315907
"",1.40378741588599,1.40378741588599,1.40378741588599,1.40378741588599,1.40378741588599,1.40378741588599,1.40378741588599
"",3.34904865733929,3.34904865733929,3.34904865733929,3.34904865733929,3.34904865733929,3.34904865733929,3.34904865733929
"dist_summ",1.2646653853306,2.97592422747057e-05,1.26467943644333,1.25535578833612,1.26122124170398,1.26830289304674,1.27344715786876
"r_summ",3.33905072928783,0.0284961619775935,3.33423069585109,3.06907029725999,3.2324751232172,3.45214034886749,3.62183397914327
"",1.27437949931825,1.27437949931825,1.27437949931825,1.27437949931825,1.27437949931825,1.27437949931825,1.27437949931825
"",3.35660401461074,3.35660401461074,3.35660401461074,3.35660401461074,3.35660401461074,3.35660401461074,3.35660401461074
"dist_summ",1.53886975083842,3.3057028460976e-05,1.53888628549876,1.52963762641651,1.53487372292887,1.54303924636054,1.54818363055958
"r_summ",3.28053238123276,0.0284243144727327,3.26881201400098,3.01313258113048,3.16197062716251,3.38244596821981,3.57798080652549
"",1.53678228492715,1.53678228492715,1.53678228492715,1.53678228492715,1.53678228492715,1.53678228492715,1.53678228492715
"",3.30446187271481,3.30446187271481,3.30446187271481,3.30446187271481,3.30446187271481,3.30446187271481,3.30446187271481
"dist_summ",1.4024764495552,2.46402863184625e-05,1.40240176563242,1.3941942473494,1.39913972501663,1.40571913808199,1.41055433820137
"r_summ",3.32879867901983,0.0281819307981894,3.32473880666197,3.06131307262222,3.21458207863402,3.44202257666922,3.61077742711466
