"","mean","var","median","0.05th","0.25th","0.75th","0.95th"
"1",0.049942,3.2e-05,0.049922,0.040582,0.046339,0.054082,0.058526
"2",0.043798,3.2e-05,0.044232,0.034259,0.039856,0.047703,0.052703
"3",0.050333,3.4e-05,0.050299,0.040541,0.046613,0.054007,0.060421
"4",0.047915,3e-05,0.048094,0.038892,0.044109,0.051408,0.056785
"5",0.049205,3.4e-05,0.049438,0.039014,0.045502,0.053123,0.058515
"6",0.047303,2.9e-05,0.04737,0.038417,0.044066,0.050957,0.05569
"7",0.04834,3.3e-05,0.048501,0.038932,0.044649,0.052008,0.057459
"8",0.052521,4e-05,0.052432,0.042571,0.048416,0.056565,0.063441
"9",0.04699,3.7e-05,0.046892,0.037389,0.042728,0.05126,0.056921
"10",0.050457,3.4e-05,0.050616,0.040561,0.046942,0.054387,0.059915
"11",0.047965,4.5e-05,0.048116,0.036562,0.043181,0.052709,0.058905
"12",0.051572,3.7e-05,0.05152,0.041869,0.047231,0.055874,0.062017
"13",0.041244,2.4e-05,0.041694,0.032197,0.038034,0.04468,0.048649
"14",0.049832,3.2e-05,0.049627,0.040505,0.045977,0.054004,0.059114
"15",0.056696,4.4e-05,0.057666,0.04482,0.051958,0.061471,0.066181
"16",0.052942,3.8e-05,0.053257,0.042753,0.048658,0.05709,0.062456
"17",0.051471,2.4e-05,0.051936,0.043165,0.048312,0.054743,0.059335
"18",0.049515,4.1e-05,0.049735,0.038849,0.045265,0.054098,0.059892
"19",0.047359,2.7e-05,0.047475,0.039009,0.043753,0.050615,0.05637
"20",0.054295,3.6e-05,0.054109,0.044555,0.050692,0.058198,0.063912
"21",0.051174,4e-05,0.051142,0.040529,0.0472,0.055435,0.06138
"22",0.04032,3.1e-05,0.040292,0.03054,0.03664,0.043799,0.049595
"23",0.049587,2.7e-05,0.049683,0.040978,0.046087,0.053029,0.05824
"24",0.052384,5.6e-05,0.051978,0.040975,0.047554,0.05636,0.065312
"25",0.046585,3.5e-05,0.04639,0.03701,0.042931,0.050564,0.055914
"26",0.055078,5.2e-05,0.054808,0.044752,0.050264,0.059228,0.067069
"27",0.053485,4.1e-05,0.053587,0.043076,0.049203,0.057687,0.063507
"28",0.045934,3.8e-05,0.04561,0.036679,0.041774,0.050105,0.05671
"29",0.055189,4.7e-05,0.055257,0.043693,0.050109,0.059932,0.066253
"30",0.049286,4.1e-05,0.049205,0.039276,0.045081,0.053129,0.059398
"31",0.051714,4.8e-05,0.05189,0.041202,0.046961,0.056547,0.062364
"32",0.045693,3.2e-05,0.045823,0.036435,0.04147,0.049419,0.054808
"33",0.047439,2e-05,0.047217,0.040237,0.04448,0.050623,0.054477
"34",0.047831,3.9e-05,0.048109,0.037708,0.043599,0.051871,0.05767
"35",0.048544,3.7e-05,0.048431,0.038513,0.044469,0.052808,0.058261
"36",0.053519,4.5e-05,0.054064,0.041409,0.048814,0.058833,0.063118
"37",0.049758,2.6e-05,0.04966,0.042161,0.046416,0.052834,0.058526
"38",0.047837,3.7e-05,0.047646,0.038384,0.043851,0.05163,0.058205
"39",0.045455,2.5e-05,0.045726,0.03693,0.041845,0.048987,0.053438
"40",0.055368,5.1e-05,0.055576,0.043453,0.050775,0.060503,0.06658
"41",0.057535,3.1e-05,0.057748,0.048143,0.053958,0.061467,0.065802
"42",0.044885,3.1e-05,0.044784,0.035578,0.04109,0.048782,0.053667
"43",0.045996,2.5e-05,0.046109,0.037684,0.042726,0.049352,0.053955
"44",0.043786,3.1e-05,0.043775,0.035007,0.040216,0.047464,0.053222
"45",0.0478,2.9e-05,0.048037,0.038406,0.044383,0.051341,0.056263
"46",0.051326,4.1e-05,0.051386,0.041039,0.047079,0.05543,0.060969
"47",0.077318,9e-06,0.077293,0.072137,0.075311,0.079432,0.082409
"48",0.051036,4.9e-05,0.051193,0.040146,0.046243,0.055499,0.062374
"49",0.044563,3.1e-05,0.04463,0.035272,0.040975,0.048288,0.053763
"50",0.045649,4.2e-05,0.046019,0.034677,0.041326,0.049977,0.056837
