"","mean","var","median","0.05th","0.25th","0.75th","0.95th"
"1",0.031667,8e-06,0.031643,0.027341,0.029837,0.033374,0.036398
"2",0.036099,0.000103,0.032187,0.022971,0.026606,0.046058,0.049926
"3",0.0307,9e-06,0.030455,0.026094,0.028738,0.032356,0.035919
"4",0.033524,1e-05,0.033499,0.028162,0.031541,0.035646,0.038511
"5",0.029371,8e-06,0.029221,0.024837,0.027712,0.030903,0.033807
"6",0.028995,1.1e-05,0.028683,0.024134,0.02668,0.030952,0.035003
"7",0.027182,5e-06,0.027221,0.023391,0.025793,0.028725,0.030849
"8",0.028605,7e-06,0.028428,0.024428,0.0268,0.03033,0.03293
"9",0.034002,7e-06,0.034148,0.029504,0.032123,0.035762,0.038261
"10",0.031355,9e-06,0.031352,0.026501,0.029402,0.033363,0.036143
"11",0.034108,9e-06,0.034023,0.029061,0.032228,0.036128,0.038842
"12",0.032937,4.5e-05,0.030707,0.025328,0.02818,0.036039,0.046739
"13",0.029184,9e-06,0.029028,0.024822,0.027011,0.030852,0.034311
"14",0.030702,7e-06,0.030699,0.026345,0.029104,0.032429,0.03524
"15",0.028404,9e-06,0.028394,0.023371,0.026403,0.03023,0.033293
"16",0.029402,9e-06,0.029541,0.024985,0.027174,0.031344,0.034144
"17",0.030352,6e-06,0.030398,0.026246,0.028641,0.031907,0.034487
"18",0.02992,8e-06,0.030054,0.025273,0.028106,0.031703,0.034513
"19",0.031591,2.3e-05,0.030455,0.025626,0.028102,0.034169,0.041491
"20",0.033617,1.1e-05,0.033619,0.02829,0.031303,0.035859,0.039032
"21",0.027569,1e-05,0.02736,0.023183,0.025819,0.028945,0.031579
"22",0.033631,2.4e-05,0.032866,0.026742,0.029855,0.036944,0.04285
"23",0.034152,1.6e-05,0.033942,0.028278,0.031662,0.036074,0.041929
"24",0.031661,6e-06,0.031746,0.02741,0.030017,0.033549,0.035407
"25",0.029122,7e-06,0.029179,0.024741,0.027317,0.030986,0.033353
"26",0.043424,0.00014,0.041492,0.027695,0.031959,0.055615,0.058465
"27",0.029084,6e-06,0.029153,0.024921,0.027459,0.030799,0.032724
"28",0.029984,5e-06,0.030039,0.026247,0.02864,0.031474,0.033609
"29",0.031279,9e-06,0.031229,0.026549,0.029181,0.033344,0.036426
"30",0.030558,7e-06,0.030583,0.026463,0.028879,0.032262,0.034593
"31",0.034669,1.1e-05,0.034493,0.029747,0.032431,0.03682,0.040192
"32",0.033974,8e-06,0.033895,0.02911,0.032345,0.035797,0.038836
"33",0.030795,6e-06,0.030816,0.026736,0.029252,0.032431,0.03459
"34",0.029094,6e-06,0.029278,0.02494,0.027291,0.030889,0.033153
"35",0.030919,1.3e-05,0.030616,0.025728,0.028526,0.032974,0.037397
"36",0.032791,1.2e-05,0.032379,0.027817,0.030539,0.0347,0.038768
"37",0.036002,4.9e-05,0.033854,0.029149,0.031766,0.03655,0.05299
"38",0.028922,9e-06,0.028909,0.024115,0.02697,0.030795,0.033978
"39",0.030842,9e-06,0.030468,0.026238,0.028777,0.032492,0.036338
"40",0.031468,5e-06,0.031589,0.027827,0.029894,0.032932,0.03505
"41",0.032772,8e-06,0.032662,0.028093,0.031028,0.034316,0.037454
"42",0.034454,8e-06,0.034506,0.029854,0.032332,0.03622,0.039331
"43",0.030982,1.1e-05,0.030937,0.026025,0.028687,0.033014,0.036317
"44",0.026437,5e-06,0.026501,0.022542,0.024993,0.028,0.030185
"45",0.029719,6e-06,0.029715,0.025655,0.028211,0.031391,0.033701
"46",0.030703,9e-06,0.030657,0.026086,0.028697,0.032402,0.036059
"47",0.041256,8.5e-05,0.045857,0.025235,0.03058,0.048305,0.050552
"48",0.030183,1e-05,0.029923,0.025508,0.028107,0.031987,0.035983
"49",0.032709,7e-06,0.032732,0.028428,0.031052,0.034391,0.036903
"50",0.033702,4e-05,0.031551,0.026915,0.029371,0.036134,0.046102
