"","mean","var","median","0.05th","0.25th","0.75th","0.95th"
"1",0.010706,3e-06,0.010204,0.008504,0.009461,0.011564,0.014228
"2",0.010657,2e-06,0.010613,0.008634,0.009796,0.011429,0.012718
"3",0.010913,1e-06,0.010825,0.009308,0.010222,0.011665,0.012573
"4",0.011254,2e-06,0.011155,0.009176,0.01025,0.012185,0.013778
"5",0.011299,2e-06,0.011289,0.009342,0.010525,0.012075,0.01327
"6",0.010215,3e-06,0.009927,0.008197,0.009181,0.010797,0.013592
"7",0.011015,1e-06,0.011,0.009304,0.010281,0.011691,0.012836
"8",0.011254,2e-06,0.011086,0.008952,0.010292,0.012043,0.013906
"9",0.011394,2e-06,0.011274,0.009622,0.010539,0.011983,0.013539
"10",0.010932,1e-06,0.010874,0.009164,0.010091,0.011755,0.013033
"11",0.013319,5e-06,0.01286,0.010356,0.011736,0.014636,0.017552
"12",0.012504,8e-06,0.011728,0.009469,0.010511,0.013483,0.019072
"13",0.011785,1e-06,0.011803,0.010154,0.011054,0.012509,0.013462
"14",0.012971,3e-06,0.012753,0.01035,0.011688,0.013986,0.016427
"15",0.011312,3e-06,0.011231,0.008806,0.010105,0.012529,0.014077
"16",0.010861,1e-06,0.010837,0.009088,0.010133,0.011583,0.012775
"17",0.011554,1e-06,0.011464,0.009797,0.010792,0.012205,0.013203
"18",0.012172,6e-06,0.01152,0.00922,0.010452,0.013524,0.017074
"19",0.011623,1e-06,0.011561,0.00997,0.010891,0.012263,0.013223
"20",0.009489,1e-06,0.009548,0.00786,0.008734,0.010216,0.011174
"21",0.01068,1e-06,0.010744,0.008822,0.009927,0.011429,0.01233
"22",0.010525,1e-06,0.010499,0.008868,0.009862,0.011215,0.012223
"23",0.01072,1e-06,0.010631,0.00908,0.009998,0.011388,0.012539
"24",0.011224,3e-06,0.01094,0.009183,0.010142,0.011876,0.014682
"25",0.011474,1e-06,0.011434,0.009782,0.010765,0.012144,0.01335
"26",0.00976,1e-06,0.00974,0.0084,0.009192,0.010356,0.011135
"27",0.01041,1e-06,0.010512,0.008549,0.009745,0.011161,0.011977
"28",0.011237,1e-06,0.011222,0.009323,0.010372,0.012116,0.013309
"29",0.011148,1e-06,0.011176,0.009275,0.010367,0.011963,0.012885
"30",0.011949,6e-06,0.011223,0.009613,0.010478,0.012291,0.017844
"31",0.011763,1e-06,0.011761,0.010063,0.011082,0.012447,0.013439
"32",0.010879,1e-06,0.010867,0.00918,0.010119,0.011534,0.01262
"33",0.010914,3e-06,0.01065,0.008795,0.009773,0.011675,0.014125
"34",0.010145,1e-06,0.010116,0.008428,0.009423,0.010859,0.011859
"35",0.011009,3e-06,0.010723,0.008763,0.00983,0.01176,0.014587
"36",0.010637,1e-06,0.010648,0.009168,0.010071,0.011272,0.012055
"37",0.011632,2e-06,0.01158,0.009488,0.010669,0.012637,0.01395
"38",0.010604,1e-06,0.010614,0.008966,0.009997,0.011255,0.012157
"39",0.010883,1e-06,0.01085,0.009304,0.010192,0.011545,0.012486
"40",0.012593,5e-06,0.012053,0.010212,0.011306,0.01317,0.017697
"41",0.011224,1e-06,0.011237,0.009212,0.010433,0.012046,0.013137
"42",0.010776,1e-06,0.010794,0.009159,0.010094,0.011474,0.012329
"43",0.012411,4e-06,0.012067,0.00996,0.011181,0.01323,0.016345
"44",0.010719,1e-06,0.010697,0.008952,0.009915,0.011508,0.012484
"45",0.010805,3e-06,0.010303,0.008727,0.009577,0.01132,0.014852
"46",0.012185,2e-06,0.012092,0.010256,0.011299,0.012881,0.014502
"47",0.010845,2e-06,0.010757,0.00892,0.00995,0.011565,0.013166
"48",0.011678,2e-06,0.011582,0.009679,0.010851,0.012513,0.01379
"49",0.011576,2e-06,0.011455,0.009462,0.010728,0.012235,0.014155
"50",0.01122,1e-06,0.011241,0.009501,0.01051,0.011903,0.012957
"51",0.011142,1e-06,0.011211,0.009375,0.010436,0.011843,0.012758
"52",0.012189,3e-06,0.011953,0.009926,0.010945,0.013296,0.015158
"53",0.010647,1e-06,0.010718,0.009075,0.009995,0.011253,0.012232
