"","mean","var","median","0.05th","0.25th","0.75th","0.95th"
"1",0.010323,1.5e-05,0.011623,0.004959,0.005159,0.013835,0.014947
"2",0.008424,2e-05,0.007139,0.003983,0.004882,0.008675,0.016512
"3",0.009584,4e-06,0.0094,0.00772,0.008422,0.011159,0.012175
"4",0.006533,8e-06,0.00708,0.003299,0.003553,0.009432,0.009841
"5",0.006045,3.3e-05,0.001646,0.001419,0.001488,0.01351,0.014043
"6",0.007745,2e-06,0.007586,0.005842,0.006453,0.008959,0.009882
"7",0.005274,9e-06,0.00407,0.003108,0.003334,0.004985,0.010939
"8",0.005887,2e-06,0.006056,0.00378,0.004601,0.007271,0.007624
"9",0.00396,0,0.003952,0.003522,0.003779,0.004091,0.004494
"10",0.003198,0,0.003163,0.002798,0.002988,0.003354,0.003741
"11",0.008843,1e-05,0.008526,0.004841,0.005796,0.012103,0.013427
"12",0.010947,3e-06,0.010626,0.009391,0.01014,0.010854,0.015375
"13",0.002045,0,0.001962,0.001686,0.001806,0.002317,0.002503
"14",0.007727,0,0.007648,0.007281,0.007485,0.007962,0.008355
"15",0.006164,1e-06,0.006091,0.004548,0.005297,0.007074,0.007896
"16",0.006803,1.8e-05,0.004769,0.003331,0.003952,0.009401,0.015625
"17",0.007804,2.4e-05,0.007264,0.001729,0.004264,0.008553,0.018929
"18",0.00309,7e-06,0.00179,0.0014,0.001522,0.002206,0.00883
"19",0.007187,8e-06,0.006152,0.005613,0.005944,0.006648,0.015383
"20",0.004909,1.3e-05,0.003634,0.001537,0.001787,0.00642,0.012376
"21",0.00703,2.4e-05,0.005515,0.002681,0.002763,0.011756,0.01567
"22",0.016508,4e-06,0.016583,0.013259,0.014751,0.018269,0.019534
"23",0.010626,4e-06,0.010413,0.008285,0.009163,0.011515,0.014503
"24",0.001517,0,0.001431,0.001279,0.001368,0.001513,0.002245
"25",0.008993,7.6e-05,0.005709,0.005343,0.005502,0.006187,0.032996
"26",0.004866,0,0.004828,0.004001,0.004295,0.005211,0.006324
"27",0.00657,2.7e-05,0.005504,0.000814,0.000918,0.012656,0.013065
"28",0.006661,5.7e-05,0.001987,0.00164,0.001769,0.014267,0.019787
"29",0.006755,2.1e-05,0.0054,0.00451,0.004696,0.006145,0.020919
"30",0.006558,1.1e-05,0.004359,0.004013,0.004204,0.01063,0.012496
"31",0.001374,0,0.001322,0.00115,0.001235,0.001485,0.00177
"32",0.005582,1.2e-05,0.003397,0.001905,0.003014,0.008495,0.012236
"33",0.002073,0,0.001949,0.001823,0.001892,0.002082,0.002803
"34",0.011714,2e-06,0.011748,0.00932,0.010481,0.012817,0.014212
"35",0.008599,5e-06,0.007969,0.006324,0.006996,0.009169,0.013205
"36",0.0062,0,0.006036,0.005584,0.005837,0.006348,0.007432
"37",0.010216,3.8e-05,0.011435,0.001418,0.00518,0.016379,0.017291
"38",0.006868,0,0.006826,0.006056,0.006421,0.007308,0.007626
"39",0.006721,1e-06,0.006752,0.005465,0.006217,0.00728,0.007838
"40",0.004234,1.1e-05,0.003675,0.001044,0.001182,0.00667,0.010503
"41",0.017049,1.2e-05,0.015919,0.013333,0.013703,0.020879,0.021598
"42",0.008703,3.6e-05,0.010139,0.002426,0.002538,0.014664,0.015924
"43",0.005957,0,0.005977,0.005577,0.005754,0.006149,0.006335
"44",0.014078,8.2e-05,0.018246,0.003466,0.003878,0.02307,0.02388
"45",0.008613,0,0.008436,0.007966,0.008232,0.008823,0.009778
"46",0.002504,5e-06,0.00187,0.001742,0.001817,0.001942,0.009191
"47",0.002078,0,0.002136,0.001737,0.001922,0.002222,0.002312
"48",0.004355,1.4e-05,0.002218,0.00203,0.00214,0.006253,0.01283
"49",0.003302,0,0.003236,0.002334,0.002974,0.003665,0.004202
"50",0.006616,7e-06,0.00714,0.002495,0.003587,0.008783,0.010333
