"mean","var","median","0.05th","0.25th","0.75th","0.95th"
"dist_summ",3.88183563784358,4.16100434069215e-06,3.88154711793814,3.87902289774802,3.88049078716985,3.8830105543756,3.88543439846017
"r_summ",8.21894731725444,0.214342045649188,8.17382962243969,7.53477338322439,7.86612545384201,8.50618807496026,8.99312376451679
"dist_summ",3.65841875940539,3.92632231571479e-06,3.65819080143044,3.65567334513221,3.6571410062717,3.65947680931421,3.662076147986
"r_summ",8.21157609168033,0.232178619916638,8.17382962243969,7.48966565352647,7.91581508830583,8.46326502360626,8.99312376451679
"dist_summ",3.88027385502115,4.42592957295906e-06,3.87999064548116,3.87736235745184,3.87889886886701,3.88145229260899,3.88409700885447
"r_summ",8.19788390146387,0.220704983533067,8.17382962243969,7.44508550121204,7.86612545384201,8.50618807496026,8.99312376451679
"dist_summ",3.78922159901598,5.34320554313373e-06,3.78890111396945,3.78628261609476,3.78778318928183,3.79024353256467,3.79347770802174
"r_summ",8.28671365508163,0.220010651094531,8.28173317083183,7.58041816800672,7.96612643566473,8.62297474945733,9.05788668623894
"dist_summ",3.91811127983376,3.86870616473295e-06,3.91786936562935,3.91538444585387,3.91697062901912,3.91909463993545,3.9216898120293
"r_summ",8.08811830767237,0.214474609505652,8.06866178958101,7.3574711199805,7.76856555229821,8.39248114080884,8.86630420757017
"dist_summ",3.68380528288918,4.5950242309201e-06,3.68350411656778,3.68101942635359,3.68247509719611,3.68478053388562,3.68764887699116
"r_summ",8.25854682826892,0.221406686818772,8.22743277041837,7.48966565352647,7.91581508830583,8.56418864113876,9.05788668623894
"dist_summ",4.27585517293914,3.54181292914612e-06,4.27559749156798,4.27335058478601,4.27465353381865,4.27687683155198,4.2791274317761
"r_summ",7.80748992449691,0.192755655994035,7.76856555229821,7.1470454534767,7.48966565352647,8.06866178958101,8.62297474945733
"dist_summ",4.100141879842,3.23937412454916e-06,4.099958641937,4.09754079932308,4.09898579887091,4.10110094980864,4.10327786355463
"r_summ",8.10614641109499,0.237878501182464,8.06866178958101,7.3574711199805,7.76856555229821,8.39248114080884,8.92926929116542
"dist_summ",4.01500304355107,4.09576013941414e-06,4.01474271245284,4.01224708037531,4.01368893250177,4.0161120893885,4.01841668359325
"r_summ",8.0621525365905,0.209418574966122,8.01707130085678,7.3574711199805,7.76856555229821,8.35067872433024,8.80731469567309
"dist_summ",3.94755513887115,3.84672301547489e-06,3.9473507319511,3.94478192976011,3.9462667991003,3.94864409409397,3.95111646219961
"r_summ",8.14886376211505,0.22516922390295,8.12091031793742,7.44508550121204,7.81704601881364,8.4489573398216,8.99312376451679
"dist_summ",4.20541080074941,3.9537892666653e-06,4.20519986896424,4.20259447695211,4.20418643422382,4.20634576100449,4.20905554382375
"r_summ",7.98552568876174,0.207550504975394,7.96612643566473,7.27185873745389,7.67335796243248,8.28173317083183,8.80420998452062
"dist_summ",3.70985076841455,4.15997468517147e-06,3.70959170109089,3.7071081044985,3.70855705442563,3.71076379255365,3.7135593451887
"r_summ",8.38615571503425,0.232106957603383,8.33674458550405,7.62660971395112,8.05576416739995,8.68256254145556,9.19021687136245
"dist_summ",3.71256626668134,4.31782497461843e-06,3.71220637535138,3.70968376130624,3.71126293112085,3.71351276546373,3.71654145690345
"r_summ",8.28670379046979,0.242612445262285,8.28173317083183,7.53477338322439,7.91581508830583,8.62297474945733,9.12357766339387
"dist_summ",3.8043193478246,4.44848813956436e-06,3.80396874866338,3.80148277704345,3.80293802763163,3.8054241287738,3.80808821638633
"r_summ",8.30782550707885,0.211918370890802,8.28173317083183,7.58041816800672,8.01707130085678,8.62297474945733,9.12357766339387
"dist_summ",3.68078999153653,4.10736244346336e-06,3.68048847558749,3.67810270586629,3.67944403573821,3.6817635682792,3.68460017674217
"r_summ",8.3044199393309,0.24881744383585,8.28173317083183,7.53477338322439,7.96612643566473,8.62297474945733,9.12357766339387
"dist_summ",3.88693905347812,4.01711483754058e-06,3.88668219857695,3.88403113377019,3.88561740640766,3.88805186374805,3.89047868779273
"r_summ",8.1873085452936,0.247672936187782,8.17382962243969,7.4428824096654,7.81704601881364,8.50618807496026,9.05788668623894
"dist_summ",3.90217142730728,3.684723147648e-06,3.90195536658691,3.89947247665986,3.90098104739525,3.90324926112292,3.90567379201029
"r_summ",8.09016214200117,0.214946218084981,8.06866178958101,7.40102367027923,7.76856555229821,8.39248114080884,8.80420998452062
"dist_summ",3.78175620631,4.21819472895467e-06,3.78146995556557,3.77898257554072,3.78047216334278,3.78279336734472,3.78533179543799
"r_summ",8.16738939385874,0.214006486211968,8.12091031793742,7.44508550121204,7.81704601881364,8.50618807496026,8.99312376451679
"dist_summ",3.96308043259048,3.49265215607684e-06,3.96291881781733,3.96038402594688,3.96185474948296,3.96417102525973,3.96615117961884
"r_summ",8.10680032290667,0.221878283780886,8.12091031793742,7.3574711199805,7.76856555229821,8.39248114080884,8.86630420757017
"dist_summ",3.80087759180343,3.94917312611677e-06,3.8005464766342,3.79823591280262,3.79961755812462,3.80188216788311,3.80449936033006
"r_summ",8.238933597271,0.227158026128948,8.2545829706251,7.48966565352647,7.91581508830583,8.50618807496026,9.05788668623894
"dist_summ",4.13081306247814,3.81553510477675e-06,4.13056304288949,4.12818372943209,4.12955615645568,4.13186747039219,4.13410047965398
"r_summ",7.90820794376606,0.1829578713762,7.86612545384201,7.22978184507552,7.62660971395112,8.17382962243969,8.68256254145556
"dist_summ",3.76725843430406,4.2700112107803e-06,3.76695566443366,3.76437379465917,3.76594228783093,3.76826966407165,3.77131474366727
"r_summ",8.28854592847621,0.245469262288654,8.28173317083183,7.48966565352647,7.96612643566473,8.62297474945733,9.12357766339387
"dist_summ",3.83901441763877,4.02893752424808e-06,3.83873091112472,3.83631893070604,3.83773172173949,3.84001758637272,3.84260546483764
"r_summ",8.18823485218216,0.222685650781209,8.14736997018856,7.48966565352647,7.86612545384201,8.50618807496026,9.05788668623894
"dist_summ",3.87406914986226,3.41634245055617e-06,3.87385408264316,3.87149667425412,3.87286166810822,3.87507482612895,3.8774508692356
"r_summ",8.15064125055946,0.199576871243642,8.12091031793742,7.44508550121204,7.81704601881364,8.4489573398216,8.92926929116542
"dist_summ",3.76915102802187,3.6253692946052e-06,3.76893190797691,3.76652384015226,3.76782389725901,3.7702732913673,3.77249374301036
"r_summ",8.19085929111225,0.215453805172146,8.17382962243969,7.44508550121204,7.86612545384201,8.50618807496026,8.99312376451679
"dist_summ",3.79842747369171,3.93449768255392e-06,3.79814223797184,3.79570973902682,3.79718225356056,3.79941952167944,3.802049964667
"r_summ",8.20387256388467,0.223894238743327,8.17382962243969,7.48966565352647,7.86612545384201,8.50618807496026,9.05788668623894
"dist_summ",3.97125263732749,3.7819143790955e-06,3.97101986335734,3.96846066416387,3.97002597306133,3.97225637929681,3.9747434887999
"r_summ",8.03339477772227,0.20435069326779,8.01707130085678,7.31441901860141,7.72067309729665,8.29548602449989,8.80420998452062
"dist_summ",3.70055340104323,4.32950829636356e-06,3.7002919096888,3.69771571997472,3.69916897462339,3.7017734734886,3.7041816278144
"r_summ",8.37044732679495,0.237602831374539,8.33674458550405,7.62660971395112,8.05576416739995,8.68256254145556,9.19021687136245
"dist_summ",3.93783436828833,4.35530061648797e-06,3.93756445576982,3.93513357463816,3.93641011242584,3.93892705894854,3.94173367534612
"r_summ",8.12367453629099,0.225288350689195,8.12091031793742,7.39884604276429,7.81704601881364,8.4489573398216,8.92926929116542
"dist_summ",3.73873421885647,4.1344195867895e-06,3.73847388301133,3.73575777948168,3.73748420584503,3.73970218477542,3.74226323909396
"r_summ",8.34915521933625,0.235632547319314,8.33674458550405,7.58041816800672,8.01707130085678,8.68256254145556,9.1269096237923
"dist_summ",3.99161811336241,3.52082162020367e-06,3.99142689613397,3.98905672433563,3.99035496303273,3.99260937520418,3.99530310563331
"r_summ",8.10236647151064,0.217827320383015,8.06866178958101,7.40102367027923,7.76856555229821,8.39248114080884,8.92926929116542
"dist_summ",3.79235244406368,4.14265794874753e-06,3.79203314731681,3.78968904516015,3.79102336739837,3.79325677201001,3.79624398180469
"r_summ",8.23798620985722,0.234232620273254,8.22743277041837,7.48966565352647,7.91581508830583,8.56418864113876,9.05788668623894
"dist_summ",3.65816794654052,4.07629648741335e-06,3.65791551445164,3.65527249169098,3.65688108768411,3.65920263195727,3.66174774548239
"r_summ",8.35591972614955,0.240541743820332,8.33674458550405,7.58041816800672,8.01707130085678,8.68256254145556,9.19021687136245
"dist_summ",4.04698010959454,3.80565712866457e-06,4.04680577562548,4.04421801016068,4.04567815627693,4.04791211099836,4.05043545724317
"r_summ",7.92269033770209,0.19865065392201,7.91581508830583,7.22978184507552,7.62660971395112,8.17382962243969,8.68256254145556
"dist_summ",3.89850402257915,3.66586061388012e-06,3.89822012967883,3.89591994151508,3.89721903793112,3.89959810517446,3.90192826209101
"r_summ",8.18492666930374,0.225209431180349,8.12091031793742,7.44508550121204,7.86612545384201,8.50618807496026,8.99312376451679
"dist_summ",4.07606869694254,3.80450501376165e-06,4.07587174027807,4.07329118050843,4.07480094191305,4.07714080525177,4.07948987013779
"r_summ",8.0519790642443,0.223689877309674,8.06866178958101,7.27185873745389,7.72067309729665,8.33674458550405,8.86630420757017
"dist_summ",4.05144946309134,3.74641325590199e-06,4.05130980511423,4.04857870989712,4.05012321619534,4.05256729657111,4.05494431751823
"r_summ",8.0245286323613,0.221948943653922,8.01707130085678,7.31441901860141,7.67335796243248,8.33674458550405,8.86630420757017
"dist_summ",3.72361534741793,3.86934578264441e-06,3.72342514742502,3.72064785328329,3.72233988787764,3.72458744389504,3.72718715493633
"r_summ",8.36845477041865,0.217064033868064,8.33674458550405,7.62660971395112,8.06866178958101,8.68256254145556,9.19021687136245
"dist_summ",3.84217975081195,3.83430665919904e-06,3.84185494723251,3.83955459905285,3.84092269686324,3.84322689100171,3.84545868986372
"r_summ",8.32705527957627,0.218605782736132,8.28173317083183,7.62660971395112,8.01707130085678,8.62297474945733,9.12357766339387
"dist_summ",4.07323779165898,3.56029261758358e-06,4.073067888318,4.07040048386342,4.0720133972819,4.0743531431501,4.07648701769721
"r_summ",8.06576670109876,0.211314394470866,8.01707130085678,7.3574711199805,7.72067309729665,8.33674458550405,8.86630420757017
"dist_summ",3.68632297166611,4.28668147203121e-06,3.68604581218126,3.68356045056821,3.68510583023485,3.68728739611324,3.68985169223361
"r_summ",8.30817308403461,0.24498134134546,8.28173317083183,7.58041816800672,7.91581508830583,8.62297474945733,9.12357766339387
"dist_summ",3.9262923390618,4.05037830114296e-06,3.92604308986851,3.92353506417949,3.92501510085276,3.92726072789995,3.9301920283457
"r_summ",8.13280130603793,0.229149279338912,8.12091031793742,7.44508550121204,7.81704601881364,8.39248114080884,8.92926929116542
"dist_summ",4.1484699636355,3.61487756901204e-06,4.14825361843992,4.1456772746022,4.14726775296588,4.14943153161231,4.15172751520459
"r_summ",7.99919679191179,0.200266468730328,7.96612643566473,7.31441901860141,7.67335796243248,8.28173317083183,8.74296860395505
"dist_summ",3.75999962485137,3.82993352972353e-06,3.75977237295203,3.75734129016741,3.75873017876676,3.76110140503261,3.76353262461126
"r_summ",8.29820729246434,0.232711600469871,8.28173317083183,7.58041816800672,7.96612643566473,8.62297474945733,9.12357766339387
"dist_summ",3.8429618181225,4.28873157957325e-06,3.84269173756319,3.84019833062164,3.84161606773291,3.84397944019281,3.84686332717541
"r_summ",8.22590844596399,0.221465228485496,8.20063119642903,7.48966565352647,7.91581508830583,8.50618807496026,9.05788668623894
"dist_summ",3.68968632164833,3.73309754219227e-06,3.68953464295973,3.68687849496959,3.6883887244444,3.69073287800164,3.69324877433461
"r_summ",8.39021382144053,0.245835477580912,8.33674458550405,7.62660971395112,8.01707130085678,8.74296860395505,9.19021687136245
"dist_summ",3.66826274228909,4.29229251943944e-06,3.66791055182316,3.66547113700632,3.66694765750138,3.66937935293988,3.67218270272118
"r_summ",8.28771034500187,0.236383408413522,8.28173317083183,7.53477338322439,7.96612643566473,8.62297474945733,9.12357766339387
"dist_summ",3.81871942227168,4.10446526367784e-06,3.81844220822424,3.81601932043773,3.81740119610466,3.81970203697143,3.82236212222472
"r_summ",8.24624189661778,0.215709919855627,8.22743277041837,7.48966565352647,7.91581508830583,8.50618807496026,9.05788668623894
"dist_summ",4.06331953099141,3.45049734565586e-06,4.06305719122964,4.06061378383278,4.06215081595073,4.06446823319909,4.06672324715026
"r_summ",8.05808771622876,0.223119331882261,8.01707130085678,7.3574711199805,7.72067309729665,8.33674458550405,8.92926929116542
"dist_summ",3.94959924526038,4.02793398356669e-06,3.94932646151827,3.94674676621828,3.94827630998043,3.95067096859025,3.95344660978611
"r_summ",8.08440350971031,0.209343478527634,8.06866178958101,7.31441901860141,7.76856555229821,8.39248114080884,8.86630420757017
