"","mean","var","median","0.05th","0.25th","0.75th","0.95th"
"1",0.001675,0,0.001654,0.00124,0.001467,0.001868,0.002159
"2",0.001102,0,0.000969,0.000505,0.000699,0.001412,0.001992
"3",0.002386,3e-06,0.001776,0.000537,0.000777,0.003836,0.00567
"4",0.008196,1.1e-05,0.008962,0.001242,0.007044,0.010443,0.012365
"5",0.004068,9e-06,0.004641,0.000577,0.001038,0.006932,0.008103
"6",0.006314,1e-06,0.006299,0.005111,0.005797,0.006837,0.007592
"7",0.003472,1e-06,0.003273,0.002079,0.002837,0.004093,0.005177
"8",0.002755,1e-06,0.002635,0.001556,0.002081,0.003415,0.004219
"9",0.002686,0,0.002658,0.00175,0.002242,0.003065,0.003898
"10",0.008719,3e-06,0.00891,0.005532,0.007332,0.010135,0.011495
"11",0.005092,2e-06,0.005148,0.002512,0.004093,0.006236,0.007391
"12",0.001695,1e-06,0.001643,0.000594,0.001175,0.002073,0.003049
"13",0.001527,0,0.001457,0.00107,0.00128,0.001751,0.002148
"14",0.006678,3e-06,0.007368,0.002677,0.006753,0.00776,0.008196
"15",0.006402,2e-06,0.006552,0.004458,0.005328,0.007373,0.008343
"16",0.004444,2e-06,0.004504,0.002211,0.003493,0.005549,0.006397
"17",0.004151,1e-06,0.00421,0.002766,0.003744,0.004656,0.005232
"18",0.007232,7e-06,0.007959,0.000956,0.007048,0.008844,0.010294
"19",0.000587,0,0.000516,0.000321,0.000421,0.000641,0.001246
"20",0.002733,0,0.002616,0.00189,0.002264,0.003104,0.004026
"21",0.005801,3.3e-05,0.001603,0.000526,0.000953,0.012211,0.014481
"22",0.005256,2e-06,0.005544,0.000822,0.004955,0.006091,0.0067
"23",0.003348,9e-06,0.00122,0.000712,0.000883,0.006767,0.008507
"24",0.004333,1e-06,0.004321,0.002648,0.003358,0.005234,0.006144
"25",0.004656,1.1e-05,0.003412,0.001998,0.002755,0.004319,0.012102
"26",0.003506,2e-06,0.003328,0.001263,0.002477,0.004368,0.00634
"27",0.003408,4e-06,0.002283,0.001334,0.001768,0.005513,0.006366
"28",0.002145,1e-06,0.001811,0.000803,0.001382,0.002946,0.004238
"29",0.000947,0,0.000922,0.000622,0.000782,0.001074,0.00135
"30",0.000786,0,0.000765,0.00052,0.000659,0.000888,0.001151
"31",0.006916,3e-06,0.00664,0.004337,0.005548,0.008384,0.009937
"32",0.005765,5e-06,0.006085,0.002402,0.004017,0.007046,0.008982
"33",0.002381,1e-06,0.002576,0.000707,0.001385,0.003254,0.003648
"34",0.011505,1e-05,0.012711,0.004752,0.011075,0.01352,0.014409
"35",0.008977,1e-06,0.009185,0.007216,0.008102,0.009782,0.010497
"36",0.008529,1.3e-05,0.00947,0.000695,0.007864,0.010898,0.012833
"37",0.004106,6e-06,0.00444,0.000574,0.001484,0.006343,0.007324
"38",0.004121,2e-06,0.004096,0.002078,0.003042,0.005066,0.006417
"39",0.006764,1e-06,0.006899,0.004887,0.005938,0.007518,0.008301
"40",0.004444,1e-06,0.004408,0.003239,0.003931,0.00497,0.005698
"41",0.005569,1e-06,0.00558,0.003932,0.004805,0.006202,0.007348
"42",0.001756,0,0.001646,0.000969,0.001222,0.002211,0.002637
"43",0.001907,4e-06,0.001084,5e-04,0.000709,0.001824,0.007285
"44",0.001428,2e-06,0.000718,0.000453,0.000585,0.001837,0.00453
"45",0.000745,0,0.000603,0.000362,0.000486,0.000837,0.001653
"46",0.007652,0,0.007579,0.00677,0.007221,0.008061,0.008835
"47",0.007014,8e-06,0.006863,0.002949,0.004551,0.009491,0.011472
"48",0.006698,6e-06,0.007047,0.002454,0.004685,0.008961,0.009805
"49",0.004184,1e-06,0.004259,0.002809,0.00356,0.004776,0.005476
"50",0.001314,0,0.001119,0.000635,0.000882,0.001735,0.002398
"51",0.00299,0,0.002989,0.002097,0.002577,0.00337,0.003879
"52",0.006442,5e-06,0.006025,0.003149,0.004766,0.008392,0.010233
"53",0.001414,1e-06,0.001056,0.000699,0.000859,0.001344,0.004109
"54",0.008472,1e-06,0.008443,0.006395,0.007538,0.009482,0.010327
"55",0.001969,1e-06,0.001591,0.000885,0.001137,0.002528,0.004172
"56",0.000931,0,0.000945,0.000604,0.000782,0.001071,0.00127
"57",0.003523,1e-06,0.003381,0.002298,0.002898,0.003913,0.005451
"58",0.005213,1.7e-05,0.002188,0.001485,0.001783,0.010235,0.011186
"59",0.00708,1e-06,0.00717,0.005303,0.00621,0.007866,0.008826
"60",0.00069,0,0.000633,0.000421,0.000542,0.000759,0.001191
"61",0.002162,4e-06,0.001443,0.000386,0.000611,0.002956,0.006166
"62",0.002681,4e-06,0.002988,0.000485,0.000744,0.003939,0.006127
